,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,mean,st dev,subject z-score
MAR-26-17-00,0.93,0.87,0.45,-0.01,-0.60,-0.44,0.50,0.84,0.36,-1.28,-1.10,-1.75,0.94,0.94,0.74,0.72,0.60,0.92,0.92,0.92,0.94,-0.65,-0.94,-1.05,0.71,0.72,0.76,0.84,-0.58,0.82,0.94,0.94,0.87,0.94,-0.19,0.94,0.14,0.07,0.93,-1.32,0.91,-0.88,-0.76,-1.04,-0.73,-1.85,0.93,-0.55,-2.04,-2.04,-1.74,0.94,-1.80,-0.70,-0.29,0.31,0.14
MAR-26-18-00,-1.41,-1.41,-0.86,-1.41,-1.27,-0.80,0.95,1.13,0.61,0.96,-0.64,-0.94,1.15,1.15,-0.58,-1.30,0.93,1.13,0.26,0.98,-0.74,-0.62,-1.12,-1.12,1.14,0.88,0.45,1.01,-0.13,1.05,1.15,0.68,1.15,1.15,1.15,1.15,0.26,0.26,-0.95,-0.43,-1.56,-1.56,-0.53,0.23,-0.87,-1.24,-0.81,-1.02,1.15,-1.41,1.15,1.15,0.22,0.13,-0.42,0.36,-1.15
MAR-26-22-00,0.81,-0.54,-1.16,-1.16,-1.55,-1.55,1.20,-0.65,1.14,-0.15,-0.36,-0.29,1.24,1.24,0.36,-0.64,1.00,0.91,1.23,0.02,-0.55,-0.55,-1.05,-1.05,1.18,1.22,1.08,0.53,0.09,0.09,1.24,1.24,1.20,1.22,1.16,-1.26,0.58,0.34,-0.36,-0.88,-1.49,-1.49,-0.85,-0.46,-0.93,-1.17,-0.74,-0.78,1.24,1.24,1.24,-1.44,-1.13,0.21,-0.44,0.36,-1.44
MAR-27-11-00,-0.68,-0.68,-0.61,-1.30,-1.71,-0.87,1.07,1.12,1.14,1.04,-0.91,-0.91,-0.62,-0.62,0.05,-0.34,0.92,0.93,0.84,0.96,0.94,-0.68,-1.13,-1.20,0.84,1.06,1.10,1.08,1.13,-0.04,1.14,1.14,1.14,1.14,0.24,0.24,0.23,1.07,-1.45,-1.02,-1.64,-1.11,0.45,-0.81,-1.02,-0.39,-1.47,-1.39,1.14,1.14,1.14,-1.59,-0.31,0.09,-0.40,0.35,-0.99
MAR-27-12-00,0.78,0.20,-0.04,-0.57,-0.71,-1.43,-0.65,-0.34,0.53,-1.56,0.56,-1.60,0.79,0.79,-1.16,0.77,0.45,0.79,-0.25,0.79,0.72,-1.34,-1.95,-1.47,0.62,0.73,0.79,0.63,0.77,0.78,0.79,0.79,0.79,0.76,0.79,0.77,0.79,0.79,-1.12,-0.40,0.75,0.75,-1.71,-1.71,0.79,0.78,0.79,-1.57,0.79,0.79,0.79,-2.41,-0.91,-1.07,-0.24,0.30,0.72
MAR-27-16-00,-2.00,-2.00,-2.00,0.68,-1.37,0.68,0.67,0.53,0.68,-0.97,-1.48,0.66,0.68,0.68,0.53,0.54,0.46,0.49,0.66,0.67,0.68,-1.17,0.67,-1.70,0.68,0.68,0.68,0.43,0.59,0.51,0.68,0.68,0.68,0.68,0.68,0.67,0.14,0.00,0.68,-0.98,0.65,-2.16,0.68,-1.10,-1.44,-1.83,0.67,-0.66,0.68,0.68,0.68,0.68,-1.97,-0.39,-0.24,0.34,0.73
MAR-27-17-00,0.91,-1.71,0.06,-1.72,0.79,-1.09,0.89,0.93,0.93,0.91,-1.12,-0.38,0.93,0.88,-0.23,0.92,0.69,0.74,0.89,0.38,-0.67,-0.90,-0.83,-1.42,0.61,0.92,0.06,-0.16,0.92,-0.35,0.93,0.87,0.93,0.92,0.85,0.81,0.07,0.26,0.91,-0.71,-1.87,-1.87,-0.85,-1.22,-1.24,-1.55,0.93,-1.83,0.93,-1.72,0.93,0.93,-0.04,-0.13,-0.32,0.35,-0.19
MAR-27-17-30,-0.92,-0.09,-1.52,-1.52,-1.90,-1.90,0.78,0.65,0.66,0.79,0.60,0.60,0.81,0.74,-0.21,0.67,0.56,0.81,0.67,0.64,-1.51,-1.51,-1.81,-1.42,0.55,0.67,0.72,0.66,-0.14,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.71,0.17,-0.74,-0.74,-1.85,-1.85,0.80,-0.86,-0.03,-1.53,-0.47,-1.24,0.81,0.81,0.81,0.81,0.81,0.81,-0.30,0.37,0.08
MAR-27-19-30,-1.37,-1.37,-1.37,-1.37,-0.80,-0.80,1.03,1.03,1.03,-0.93,-0.75,1.04,1.04,1.04,0.22,0.81,0.84,0.85,0.96,0.96,-1.19,-1.19,-1.10,-1.48,0.80,0.92,0.88,0.92,0.93,0.97,1.04,1.04,1.04,1.04,1.03,0.86,0.21,0.43,-0.45,-0.45,-1.51,-1.51,-0.54,-0.56,-0.99,-1.21,-0.58,-0.49,-1.37,1.04,1.04,-1.47,-0.29,0.08,-0.40,0.38,-0.98
MAR-27-20-00,-1.49,-0.64,-1.29,-1.29,-1.72,1.01,1.22,-0.59,0.47,-0.07,-0.12,-0.62,1.20,1.25,-0.85,-0.39,1.02,-1.37,-0.04,-0.04,-1.28,-1.28,-1.61,-0.47,0.98,0.93,1.03,-0.21,1.12,0.03,1.25,1.25,1.25,1.25,1.25,1.25,0.56,0.56,-1.00,0.13,-1.10,-0.42,-0.06,-1.36,-0.88,-0.01,-0.85,-0.55,1.25,1.25,1.25,-1.60,0.25,0.16,-0.42,0.34,-1.22
MAR-27-21-00,-0.50,-0.19,-2.65,-0.31,0.31,-1.11,0.56,0.57,0.47,0.35,0.29,0.57,0.54,0.57,-1.53,0.54,0.11,0.57,0.56,-0.25,0.53,-2.23,0.55,0.55,0.46,0.31,0.57,0.55,0.56,0.56,0.57,0.57,0.57,0.57,0.51,0.56,0.57,0.56,0.57,-2.27,-1.24,0.53,0.55,-2.18,0.57,0.54,-1.02,0.53,0.57,0.57,-2.56,0.57,-2.62,0.57,-0.15,0.27,1.61
MAR-27-21-30,-0.37,0.28,0.37,-1.55,0.21,0.63,0.58,-1.50,0.57,0.40,0.60,0.60,0.63,0.63,0.38,0.63,0.34,0.63,0.42,0.63,0.55,0.47,-1.13,0.63,0.62,0.50,0.46,0.46,0.62,0.63,0.63,0.63,0.63,0.62,0.62,0.21,-0.17,0.62,0.62,0.63,-1.94,-2.71,-1.44,-1.93,-1.96,-2.32,0.61,-1.47,0.63,0.63,-2.21,0.63,-1.11,0.63,-0.18,0.29,1.26
MAR-27-22-30,-1.63,-1.63,0.47,-1.63,-1.83,-1.06,0.76,0.75,0.75,-1.15,0.74,-0.66,0.78,0.78,-0.85,-0.56,0.55,0.63,0.77,0.73,0.78,-1.45,0.65,0.78,0.78,0.77,0.63,0.65,0.65,0.65,0.78,0.78,0.77,0.78,0.78,0.78,0.78,0.78,-1.60,-1.20,-1.77,-1.77,-0.80,-1.17,-1.27,-1.47,0.78,-0.72,0.78,0.78,0.78,0.78,0.78,-0.78,-0.30,0.38,0.06
MAR-28-10-00,0.63,-1.60,-1.92,-2.39,0.65,-1.29,0.42,0.67,-1.10,0.71,0.53,0.71,0.71,0.71,-0.86,-1.07,0.41,0.70,0.70,-1.29,0.70,0.45,0.71,0.49,0.68,0.38,0.71,0.47,0.54,0.52,0.71,0.71,0.70,0.68,-0.44,0.70,0.71,0.63,0.66,0.71,0.66,-1.93,-1.52,-1.42,0.28,-1.16,0.69,-1.49,0.71,-2.70,0.71,0.71,-0.51,-0.51,-0.20,0.28,1.15
MAR-28-14-00,0.21,0.46,-0.78,-0.44,-1.53,-1.39,0.43,-2.37,0.46,-1.55,0.41,0.05,0.43,0.46,-1.05,0.19,0.46,0.42,0.46,-0.45,0.43,-3.59,0.22,0.46,0.46,0.46,0.17,0.46,0.29,0.46,0.46,0.46,0.45,0.46,0.46,0.46,-0.65,0.46,0.46,0.46,-4.18,0.46,0.46,0.46,0.43,0.46,0.43,0.43,0.46,0.46,0.46,0.46,0.46,0.46,-0.10,0.21,2.17
