,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,mean,st dev,subject z-score
MAR-26-17-00,0.89,0.85,0.50,0.07,-0.54,-0.37,0.54,0.83,0.42,-1.28,-1.08,-1.81,0.90,0.90,0.75,0.74,0.63,0.88,0.88,0.88,0.90,-0.59,-0.90,-1.02,0.72,0.74,0.77,0.83,-0.52,0.82,0.90,0.90,0.85,0.90,-0.11,0.89,0.21,0.14,0.89,-1.32,0.87,-0.84,-0.71,-1.02,-0.67,-1.92,0.89,-0.48,-2.14,-2.14,-1.80,0.90,-1.86,-0.65,-0.27,0.30,0.19
MAR-26-18-00,-1.45,-1.45,-0.85,-1.46,-1.30,-0.78,0.96,1.09,0.66,0.97,-0.60,-0.94,1.10,1.10,-0.53,-1.34,0.95,1.09,0.33,0.98,-0.71,-0.58,-1.14,-1.14,1.10,0.90,0.51,1.01,-0.07,1.03,1.10,0.73,1.10,1.10,1.10,1.10,0.34,0.34,-0.94,-0.38,-1.63,-1.63,-0.49,0.30,-0.86,-1.27,-0.79,-1.02,1.10,-1.46,1.10,1.10,0.29,0.20,-0.39,0.36,-1.16
MAR-26-22-00,0.85,-0.50,-1.18,-1.18,-1.63,-1.63,1.16,-0.62,1.13,-0.09,-0.31,-0.24,1.19,1.19,0.43,-0.61,1.02,0.94,1.18,0.09,-0.51,-0.51,-1.06,-1.06,1.15,1.18,1.08,0.59,0.16,0.16,1.19,1.19,1.17,1.18,1.14,-1.30,0.65,0.41,-0.30,-0.87,-1.56,-1.56,-0.84,-0.41,-0.93,-1.20,-0.72,-0.76,1.19,1.19,1.19,-1.51,-1.15,0.28,-0.42,0.35,-1.46
MAR-27-11-00,-0.64,-0.64,-0.57,-1.33,-1.80,-0.85,1.05,1.08,1.09,1.03,-0.89,-0.89,-0.58,-0.58,0.13,-0.28,0.93,0.94,0.87,0.97,0.95,-0.64,-1.14,-1.22,0.86,1.04,1.07,1.05,1.09,0.03,1.09,1.09,1.09,1.09,0.31,0.31,0.30,1.05,-1.51,-1.02,-1.72,-1.12,0.51,-0.78,-1.01,-0.34,-1.53,-1.43,1.09,1.09,1.09,-1.67,-0.25,0.16,-0.38,0.35,-0.99
MAR-27-12-00,0.76,0.28,0.05,-0.49,-0.64,-1.43,-0.57,-0.25,0.57,-1.58,0.59,-1.62,0.76,0.76,-1.13,0.75,0.51,0.76,-0.16,0.76,0.72,-1.33,-2.02,-1.48,0.64,0.73,0.76,0.65,0.75,0.76,0.76,0.76,0.76,0.75,0.76,0.75,0.76,0.76,-1.08,-0.31,0.74,0.74,-1.75,-1.75,0.76,0.75,0.76,-1.59,0.76,0.76,0.76,-2.57,-0.85,-1.03,-0.22,0.29,0.75
MAR-27-16-00,-2.05,-2.05,-2.06,0.66,-1.34,0.66,0.65,0.56,0.66,-0.90,-1.47,0.65,0.66,0.66,0.55,0.56,0.50,0.53,0.65,0.66,0.66,-1.13,0.65,-1.71,0.66,0.66,0.66,0.47,0.60,0.54,0.66,0.66,0.66,0.66,0.66,0.65,0.22,0.09,0.66,-0.91,0.64,-2.24,0.66,-1.05,-1.42,-1.86,0.66,-0.57,0.66,0.66,0.66,0.66,-2.01,-0.29,-0.22,0.34,0.70
MAR-27-17-00,0.88,-1.77,0.13,-1.78,0.79,-1.07,0.87,0.89,0.89,0.87,-1.10,-0.30,0.89,0.86,-0.15,0.88,0.72,0.75,0.87,0.44,-0.62,-0.86,-0.78,-1.44,0.65,0.88,0.14,-0.08,0.88,-0.27,0.89,0.85,0.89,0.88,0.84,0.81,0.15,0.33,0.88,-0.65,-1.96,-1.96,-0.81,-1.21,-1.24,-1.58,0.89,-1.90,0.89,-1.78,0.89,0.89,0.04,-0.05,-0.30,0.34,-0.19
MAR-27-17-30,-0.87,0.00,-1.53,-1.53,-1.97,-1.97,0.76,0.67,0.67,0.76,0.62,0.62,0.77,0.73,-0.13,0.68,0.59,0.77,0.68,0.66,-1.52,-1.52,-1.86,-1.42,0.59,0.68,0.71,0.67,-0.06,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.71,0.25,-0.68,-0.68,-1.90,-1.90,0.77,-0.80,0.06,-1.55,-0.39,-1.22,0.77,0.77,0.77,0.77,0.77,0.77,-0.28,0.36,0.05
MAR-27-19-30,-1.40,-1.40,-1.41,-1.41,-0.77,-0.77,1.00,1.00,1.00,-0.91,-0.72,1.00,1.00,1.00,0.30,0.83,0.86,0.87,0.95,0.95,-1.20,-1.20,-1.10,-1.53,0.83,0.93,0.89,0.92,0.93,0.96,1.00,1.00,1.00,1.00,1.00,0.87,0.28,0.50,-0.39,-0.39,-1.57,-1.57,-0.49,-0.51,-0.98,-1.23,-0.53,-0.43,-1.41,1.00,1.00,-1.52,-0.22,0.16,-0.38,0.38,-1.02
MAR-27-20-00,-1.55,-0.61,-1.33,-1.33,-1.81,1.02,1.17,-0.55,0.53,0.00,-0.06,-0.59,1.16,1.19,-0.84,-0.34,1.02,-1.42,0.03,0.03,-1.32,-1.32,-1.69,-0.42,0.99,0.95,1.03,-0.15,1.10,0.09,1.19,1.19,1.19,1.19,1.19,1.19,0.62,0.62,-1.00,0.20,-1.11,-0.37,0.01,-1.41,-0.87,0.06,-0.84,-0.51,1.19,1.19,1.19,-1.68,0.32,0.23,-0.40,0.33,-1.20
