DENSITY,DE,DE,DE,DE,DE,DE,ME,ME,ME,ME,ME,ME,SP,SP,SP,SP,SP,SP
TRAFFIC,HI,HI,ME,ME,LO,LO,HI,HI,ME,ME,LO,LO,HI,HI,ME,ME,LO,LO
VIZ,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO
MAR-30-15-30,1.18730341,1.072090828,1.019017115,1.02974709,1.007776783,1.015615484,1.071680381,1.054320374,1.097500304,1.043097827,1.025650291,1.042514478,1.799937912,2.245973368,1.26058105,1.032692201,1.058150975,1.179108294
MAR-30-19-00,1.122443582,1.053855757,1.022650403,1.009302566,1.011647648,1.037011498,1.199803591,1.155814355,1.052782488,1.067788864,1.111413948,1.077101531,2.444356285,2.381648344,1.34508595,1.098584619,1.214116264,1.111904621
MAR-31-11-00,1.028274971,1.028274971,1.005942864,1.006804361,1.006574661,1.000669132,1.129756846,1.148292559,1.07922213,1.07496815,1.103882897,1.070612873,4.342996072,4.097993892,1.36645451,1.13260241,1.052329646,1.034291836
MAR-31-12-00,1.130358563,1.090630758,1.026089352,1.013466363,1.006574661,1.002535181,1.062024648,1.063055215,1.071305001,1.101372128,1.051626777,1.047901805,1.788614946,3.941333724,1.349630628,1.285057632,1.213101302,1.297059218
MAR-31-15-00,1.071762871,1.0380728,1.036631289,1.013466363,1.034373099,1.004986593,1.158847324,1.18261946,1.309080905,1.040325641,1.076485887,1.101291235,1.788356447,1.594208198,1.337997772,1.205039321,1.202394794,1.212209085
MAR-31-16-00,1.118220027,1.0380728,1.015555497,1.010164062,1.011003833,1.004986593,1.070245844,1.080017018,1.078006941,1.070124967,1.042105828,1.035266586,1.807219227,1.820484683,1.284356468,1.196504174,1.04515581,1.044417563
MAR-31-17-30,1.448434337,1.75766473,1.3483724,1.48908981,1.096389231,1.803745703,1.652217665,1.496340213,1.282921769,1.119473618,1.318314613,1.277927846,2.186645467,1.917561344,1.815250931,1.461271141,1.43736348,1.296625997
MAR-28-15-00,1.083781834,1.055865495,1.103781218,1.010164062,1.042431526,1.016639633,1.069875831,1.054178932,1.063282617,1.043010606,1.053553928,1.023378609,1.316637965,1.243949644,1.234448761,1.185385888,1.122937022,1.046599202
mean,1.147233853,1.114311916,1.076593883,1.056360524,1.041781391,1.106042572,1.154621758,1.139439147,1.148070976,1.084480143,1.115447643,1.113550104,2.585166793,2.219996255,1.29409425,1.23897211,1.204099714,1.199697532
,,,,,,,,,,,,,,,,,,
,DE-HI-DI,DE-ME-DI,DE-LO-DI,ME-HI-DI,ME-ME-DI,ME-LO-DI,SP-HI-DI,SP-ME-DI,SP-LO-DI,DE-HI-GO,DE-ME-GO,DE-LO-GO,ME-HI-GO,ME-ME-GO,ME-LO-GO,SP-HI-GO,SP-ME-GO,SP-LO-GO
reordered,1.147233853,1.076593883,1.041781391,1.154621758,1.148070976,1.115447643,2.585166793,1.29409425,1.204099714,1.114311916,1.056360524,1.106042572,1.139439147,1.084480143,1.113550104,2.219996255,1.23897211,1.199697532
,,,,,,,,,,,,,,,,,,
Counts,,,,,,,,Count,SS,df,MS,,,,,,,
m,a = density,b = traffic,c = visualization,,,T,,1,164.4054113,575,0.2859224544,,,,,,,
32,3,3,2,,,A,,192,34.13737376,2,17.06868688,,,,,,,
