,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,mean,st dev,subject z-score
MAR-26-17-00,0.91,0.86,0.48,0.03,-0.57,-0.40,0.52,0.84,0.39,-1.28,-1.09,-1.78,0.92,0.92,0.74,0.73,0.62,0.90,0.90,0.90,0.92,-0.62,-0.92,-1.03,0.72,0.73,0.77,0.83,-0.55,0.82,0.92,0.92,0.86,0.92,-0.15,0.92,0.18,0.10,0.91,-1.32,0.89,-0.86,-0.73,-1.03,-0.70,-1.88,0.91,-0.51,-2.09,-2.09,-1.77,0.92,-1.83,-0.67,-0.28,0.30,0.16
MAR-26-18-00,-1.43,-1.43,-0.86,-1.44,-1.28,-0.79,0.96,1.11,0.64,0.97,-0.62,-0.94,1.13,1.13,-0.56,-1.32,0.94,1.11,0.30,0.98,-0.72,-0.60,-1.13,-1.13,1.12,0.90,0.48,1.01,-0.10,1.04,1.13,0.70,1.13,1.13,1.13,1.12,0.30,0.30,-0.95,-0.41,-1.60,-1.60,-0.51,0.26,-0.86,-1.26,-0.80,-1.02,1.13,-1.44,1.13,1.13,0.26,0.17,-0.40,0.36,-1.16
MAR-26-22-00,0.83,-0.52,-1.17,-1.17,-1.59,-1.59,1.18,-0.64,1.14,-0.12,-0.34,-0.26,1.21,1.21,0.40,-0.62,1.01,0.92,1.20,0.06,-0.53,-0.53,-1.06,-1.06,1.17,1.20,1.08,0.56,0.12,0.12,1.21,1.21,1.18,1.20,1.15,-1.28,0.62,0.38,-0.33,-0.87,-1.53,-1.53,-0.85,-0.43,-0.93,-1.19,-0.73,-0.77,1.21,1.21,1.21,-1.47,-1.14,0.25,-0.43,0.36,-1.45
MAR-27-11-00,-0.66,-0.66,-0.59,-1.32,-1.75,-0.86,1.06,1.10,1.11,1.04,-0.90,-0.90,-0.60,-0.60,0.09,-0.31,0.93,0.93,0.85,0.96,0.95,-0.66,-1.13,-1.21,0.85,1.05,1.08,1.06,1.11,0.00,1.11,1.11,1.11,1.11,0.28,0.28,0.26,1.06,-1.48,-1.02,-1.68,-1.12,0.48,-0.80,-1.01,-0.37,-1.50,-1.41,1.11,1.11,1.11,-1.63,-0.28,0.13,-0.39,0.35,-0.99
MAR-27-12-00,0.77,0.24,0.00,-0.53,-0.68,-1.43,-0.61,-0.30,0.55,-1.57,0.58,-1.61,0.77,0.77,-1.14,0.76,0.48,0.77,-0.20,0.77,0.72,-1.34,-1.99,-1.47,0.63,0.73,0.77,0.64,0.76,0.77,0.77,0.77,0.77,0.76,0.77,0.76,0.77,0.77,-1.10,-0.36,0.74,0.75,-1.73,-1.73,0.77,0.77,0.77,-1.58,0.77,0.77,0.77,-2.49,-0.88,-1.05,-0.23,0.29,0.73
MAR-27-16-00,-2.03,-2.03,-2.03,0.67,-1.35,0.67,0.66,0.55,0.67,-0.94,-1.48,0.65,0.67,0.67,0.54,0.55,0.48,0.51,0.66,0.67,0.67,-1.15,0.66,-1.71,0.67,0.67,0.67,0.45,0.60,0.52,0.67,0.67,0.67,0.67,0.67,0.66,0.18,0.05,0.67,-0.94,0.64,-2.20,0.67,-1.08,-1.43,-1.84,0.66,-0.61,0.67,0.67,0.67,0.67,-1.99,-0.34,-0.23,0.34,0.72
MAR-27-17-00,0.90,-1.74,0.10,-1.75,0.79,-1.08,0.88,0.90,0.90,0.89,-1.11,-0.34,0.91,0.87,-0.19,0.90,0.71,0.75,0.88,0.41,-0.65,-0.88,-0.80,-1.43,0.63,0.90,0.10,-0.12,0.90,-0.31,0.91,0.86,0.91,0.90,0.84,0.81,0.11,0.29,0.89,-0.68,-1.92,-1.92,-0.83,-1.21,-1.24,-1.56,0.91,-1.87,0.91,-1.75,0.91,0.91,0.00,-0.09,-0.31,0.35,-0.19
MAR-27-17-30,-0.90,-0.04,-1.52,-1.52,-1.94,-1.94,0.77,0.66,0.67,0.77,0.61,0.61,0.79,0.73,-0.17,0.68,0.58,0.79,0.68,0.65,-1.51,-1.51,-1.83,-1.42,0.57,0.67,0.72,0.67,-0.10,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.71,0.21,-0.71,-0.71,-1.87,-1.87,0.79,-0.83,0.02,-1.54,-0.43,-1.23,0.79,0.79,0.79,0.79,0.79,0.79,-0.29,0.37,0.06
MAR-27-19-30,-1.38,-1.38,-1.39,-1.39,-0.78,-0.78,1.01,1.01,1.01,-0.92,-0.74,1.02,1.02,1.02,0.26,0.82,0.85,0.86,0.96,0.95,-1.19,-1.19,-1.10,-1.50,0.82,0.93,0.89,0.92,0.93,0.97,1.02,1.02,1.02,1.02,1.01,0.87,0.25,0.47,-0.42,-0.42,-1.54,-1.54,-0.52,-0.54,-0.98,-1.22,-0.56,-0.46,-1.39,1.02,1.02,-1.49,-0.25,0.12,-0.39,0.38,-1.00
MAR-27-20-00,-1.52,-0.62,-1.31,-1.31,-1.77,1.02,1.20,-0.57,0.50,-0.03,-0.09,-0.61,1.19,1.22,-0.85,-0.36,1.02,-1.39,-0.01,-0.01,-1.30,-1.30,-1.65,-0.44,0.99,0.94,1.03,-0.18,1.11,0.06,1.22,1.22,1.22,1.22,1.22,1.22,0.59,0.59,-1.00,0.17,-1.10,-0.40,-0.03,-1.38,-0.88,0.02,-0.84,-0.53,1.22,1.22,1.22,-1.64,0.29,0.19,-0.41,0.33,-1.21
