,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,mean,st dev,subject z-score
MAR-31-12-00,0.89,-0.77,0.28,-1.47,-0.98,-1.93,0.77,0.75,0.77,0.89,-1.04,-0.43,-0.71,0.31,0.78,0.89,0.75,0.89,0.85,0.89,-0.94,-0.78,-1.35,-1.35,0.69,0.73,0.81,0.82,0.85,0.81,0.90,0.90,0.90,0.89,0.89,0.89,0.38,0.38,-0.57,-0.57,-1.86,-1.86,-1.12,-1.12,-1.21,-1.21,-0.99,-0.99,-1.74,0.90,0.90,0.90,0.89,0.89,-0.32,0.35,-0.37
MAR-31-15-00,-0.80,-0.80,-1.49,-1.49,-1.95,-1.95,0.83,0.83,0.85,-1.51,0.71,0.84,0.73,0.24,-0.05,-0.73,0.65,0.85,0.44,0.44,0.72,-0.81,0.74,-1.37,0.78,0.84,0.71,0.77,0.77,-0.14,0.85,0.85,0.85,0.84,0.85,0.84,0.81,0.11,-1.17,-0.60,-1.88,-1.28,0.84,0.84,0.84,-1.69,-0.41,-0.31,-1.70,0.85,0.85,0.85,-1.66,-0.02,-0.30,0.36,-0.22
MAR-31-16-00,1.05,-0.76,-1.03,-1.52,-0.62,-2.03,-1.01,0.92,0.90,0.89,0.85,0.21,1.05,1.05,0.26,-0.10,0.90,0.89,0.96,0.61,-0.77,-0.77,-1.39,-1.39,1.04,1.01,0.98,0.98,-0.04,0.15,1.05,1.05,1.05,1.05,0.15,-1.65,0.24,0.24,-0.54,-1.17,-1.29,-1.29,-1.14,-1.14,-0.22,-1.54,-1.00,-0.07,1.05,1.05,1.05,1.05,-1.48,0.19,-0.34,0.32,-0.66
MAR-31-17-30,0.39,0.40,-2.81,0.40,-3.06,0.40,0.39,0.40,0.38,0.37,0.40,0.39,0.40,0.40,-1.43,0.20,0.38,0.14,-0.21,0.40,0.40,0.40,0.30,0.40,0.40,0.40,0.40,0.38,0.26,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,-2.91,0.37,0.40,0.40,0.39,-1.50,-3.46,0.40,-2.05,0.40,0.40,0.40,0.40,0.40,0.40,-0.09,0.22,2.16
MAR-28-15-00,-0.89,-0.89,0.29,-1.71,-0.22,0.04,0.79,-0.98,0.33,0.55,-0.87,-0.49,1.09,1.06,-0.47,-0.47,0.89,0.89,1.08,0.96,1.09,-0.90,0.95,-1.57,1.01,1.00,0.99,0.37,1.02,-0.24,1.09,1.09,1.09,1.08,1.08,-1.02,0.27,0.48,-1.34,-1.34,-2.18,-1.46,-0.78,-0.02,0.10,-0.27,-0.41,-0.63,-2.03,-1.97,1.09,1.09,0.15,0.15,-0.32,0.30,-0.46
mean,0.00,-0.55,-0.79,-1.04,-1.01,-0.88,0.58,0.30,0.48,-0.15,-0.11,-0.16,0.70,0.65,-0.29,0.16,0.70,0.61,0.65,0.39,-0.30,-0.90,-0.65,-0.71,0.79,0.60,0.72,0.60,0.51,0.55,0.86,0.84,0.84,0.70,0.66,0.52,0.46,0.45,-0.51,-0.68,-1.31,-1.24,-0.28,-0.69,-0.41,-1.28,-0.21,-0.82,0.35,0.05,0.51,-0.02,-0.32,0.03,-0.28,,
st dev,0.99,0.88,0.97,0.84,1.02,1.01,0.56,0.85,0.64,0.94,0.87,0.87,0.46,0.61,0.63,0.72,0.22,0.63,0.34,0.54,0.95,0.82,0.88,0.97,0.21,0.67,0.23,0.36,0.39,0.34,0.22,0.21,0.23,0.61,0.37,0.68,0.33,0.25,0.88,0.77,1.15,0.94,0.76,0.80,0.90,0.87,0.84,0.64,1.10,1.31,1.00,1.25,0.99,0.52,0.09,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,σ = 0,σ = 1,σ = 2,σ = 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,-4.45,661.00,373.00,50.00,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,1.18,"1,049.00",146.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tukey λ,-34.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tukey's ladder of transformations:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 = x²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 = x = no transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 = ln(x),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-1 = -1/x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-2 = -1/x²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-8 = -1/x⁸ smallest σ=2 difference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-9 = smallest σ=0 and σ=1 difference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-10 = makes all ANOVA interactions significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"-15 = even better ANOVA, equal α for A*C and B*C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"-19 = even better ANOVA, α for A*C minimized",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-30 = even better ANOVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
σ,-5,-4.75,-4.5,-4.25,-4,-3.75,-3.5,-3.25,-3,-2.75,-2.5,-2.25,-2,-1.75,-1.5,-1.25,-1,-0.75,-0.5,-0.25,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,,,,,,,,,,,,,,,,
(observations),0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,6.00,5.00,12.00,23.00,56.00,67.00,92.00,108.00,89.00,79.00,69.00,51.00,80.00,170.00,319.00,352.00,146.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
σ,-5,-4.50,-4,-3.50,-3,-2.50,-2,-1.50,-1,-0.50,0,0.50,1,1.50,2,2.50,3,3.50,4,4.50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(subjects),0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,4.00,9.00,4.00,3.00,3.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
