,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,mean,st dev,subject z-score
MAR-26-17-00,0.87,0.84,0.53,0.10,-0.51,-0.34,0.56,0.82,0.45,-1.27,-1.07,-1.84,0.88,0.88,0.75,0.74,0.65,0.87,0.87,0.86,0.87,-0.56,-0.88,-1.01,0.73,0.74,0.77,0.82,-0.49,0.81,0.88,0.88,0.84,0.88,-0.08,0.87,0.25,0.17,0.87,-1.32,0.86,-0.81,-0.68,-1.00,-0.65,-1.95,0.87,-0.45,-2.19,-2.19,-1.83,0.88,-1.89,-0.62,-0.26,0.30,0.21
MAR-26-18-00,-1.48,-1.48,-0.84,-1.48,-1.31,-0.77,0.96,1.07,0.69,0.97,-0.58,-0.93,1.08,1.08,-0.51,-1.35,0.95,1.07,0.36,0.98,-0.69,-0.56,-1.14,-1.14,1.08,0.91,0.54,1.00,-0.03,1.03,1.08,0.74,1.08,1.08,1.08,1.08,0.37,0.37,-0.94,-0.35,-1.67,-1.67,-0.46,0.33,-0.85,-1.28,-0.78,-1.02,1.08,-1.48,1.08,1.08,0.32,0.24,-0.38,0.35,-1.17
MAR-26-22-00,0.87,-0.48,-1.19,-1.19,-1.67,-1.67,1.15,-0.60,1.12,-0.06,-0.29,-0.21,1.16,1.16,0.46,-0.59,1.02,0.95,1.16,0.12,-0.49,-0.49,-1.07,-1.07,1.14,1.16,1.08,0.62,0.19,0.19,1.16,1.16,1.15,1.16,1.13,-1.32,0.67,0.45,-0.28,-0.86,-1.59,-1.59,-0.83,-0.39,-0.93,-1.21,-0.70,-0.75,1.16,1.16,1.16,-1.53,-1.16,0.31,-0.41,0.35,-1.47
MAR-27-11-00,-0.62,-0.62,-0.55,-1.35,-1.84,-0.84,1.03,1.06,1.07,1.02,-0.89,-0.88,-0.56,-0.56,0.16,-0.25,0.94,0.94,0.87,0.97,0.95,-0.63,-1.14,-1.22,0.87,1.03,1.05,1.04,1.07,0.07,1.07,1.07,1.07,1.07,0.34,0.34,0.33,1.04,-1.53,-1.01,-1.76,-1.12,0.54,-0.77,-1.01,-0.31,-1.56,-1.45,1.07,1.07,1.07,-1.70,-0.22,0.20,-0.37,0.34,-0.99
MAR-27-12-00,0.75,0.31,0.08,-0.45,-0.61,-1.42,-0.54,-0.21,0.59,-1.59,0.60,-1.63,0.75,0.75,-1.11,0.74,0.53,0.75,-0.12,0.75,0.71,-1.33,-2.06,-1.48,0.65,0.72,0.75,0.66,0.74,0.75,0.75,0.75,0.75,0.74,0.75,0.74,0.75,0.75,-1.06,-0.27,0.73,0.73,-1.76,-1.76,0.75,0.74,0.75,-1.60,0.75,0.75,0.75,-2.64,-0.83,-1.01,-0.21,0.28,0.76
MAR-27-16-00,-2.08,-2.08,-2.08,0.65,-1.32,0.65,0.65,0.57,0.65,-0.87,-1.46,0.64,0.65,0.65,0.56,0.57,0.52,0.54,0.64,0.65,0.65,-1.10,0.65,-1.72,0.65,0.65,0.65,0.49,0.61,0.55,0.65,0.65,0.65,0.65,0.65,0.65,0.25,0.13,0.65,-0.88,0.64,-2.28,0.65,-1.02,-1.40,-1.87,0.65,-0.53,0.65,0.65,0.65,0.65,-2.04,-0.25,-0.22,0.33,0.69
MAR-27-17-00,0.86,-1.80,0.17,-1.80,0.79,-1.06,0.85,0.87,0.87,0.86,-1.09,-0.27,0.87,0.85,-0.11,0.87,0.72,0.76,0.85,0.47,-0.59,-0.84,-0.76,-1.45,0.66,0.86,0.18,-0.04,0.86,-0.24,0.87,0.84,0.87,0.87,0.83,0.81,0.18,0.36,0.86,-0.63,-1.99,-1.99,-0.79,-1.21,-1.23,-1.60,0.87,-1.94,0.87,-1.80,0.87,0.87,0.08,-0.01,-0.30,0.34,-0.19
MAR-27-17-30,-0.84,0.03,-1.53,-1.53,-2.00,-2.00,0.75,0.67,0.68,0.75,0.63,0.63,0.76,0.72,-0.09,0.68,0.60,0.76,0.68,0.66,-1.52,-1.52,-1.88,-1.41,0.60,0.68,0.71,0.67,-0.02,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.70,0.28,-0.64,-0.64,-1.93,-1.93,0.76,-0.77,0.09,-1.55,-0.35,-1.21,0.76,0.76,0.76,0.76,0.76,0.76,-0.28,0.36,0.04
MAR-27-19-30,-1.42,-1.42,-1.42,-1.42,-0.75,-0.75,0.98,0.98,0.98,-0.90,-0.70,0.99,0.99,0.99,0.33,0.84,0.86,0.87,0.95,0.94,-1.20,-1.20,-1.10,-1.55,0.84,0.92,0.89,0.92,0.93,0.95,0.99,0.99,0.99,0.99,0.98,0.88,0.32,0.53,-0.36,-0.36,-1.59,-1.59,-0.46,-0.49,-0.97,-1.23,-0.51,-0.40,-1.42,0.99,0.99,-1.54,-0.19,0.19,-0.37,0.38,-1.04
MAR-27-20-00,-1.58,-0.59,-1.35,-1.35,-1.86,1.02,1.15,-0.54,0.56,0.03,-0.03,-0.57,1.14,1.17,-0.83,-0.31,1.02,-1.44,0.06,0.06,-1.33,-1.33,-1.73,-0.40,0.99,0.96,1.03,-0.12,1.09,0.13,1.17,1.17,1.17,1.16,1.16,1.17,0.64,0.64,-1.00,0.23,-1.11,-0.35,0.04,-1.43,-0.86,0.09,-0.83,-0.49,1.17,1.17,1.17,-1.72,0.35,0.26,-0.39,0.33,-1.19
