,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,mean,st dev
MAR-28-14-00,7.10,7.08,9.76,5.49,10.04,6.52,10.96,34.78,17.30,21.44,21.32,18.14,20.62,54.77,21.82,25.57,22.39,21.78,20.90,16.57,17.30,17.22,20.41,27.66,21.50,41.49,18.74,58.17,20.30,41.07,19.68,119.77,21.21,74.74,35.63,42.78,16.03,14.63,16.28,12.40,42.13,11.53,18.74,9.66,23.80,13.00,12.33,21.56,203.51,111.38,39.33,33.27,46.40,51.00,30.91,32.91
MAR-28-16-00,12.28,10.43,17.62,8.61,18.52,7.46,14.53,29.35,15.66,21.44,34.33,29.09,27.24,30.24,33.15,26.23,23.34,23.25,46.94,12.98,14.47,7.93,10.30,7.37,17.96,28.11,33.00,22.59,30.57,17.72,46.71,46.35,33.27,24.66,33.38,20.93,17.63,5.56,9.89,6.11,7.16,6.06,18.07,9.88,11.34,10.73,16.66,14.91,16.13,16.96,21.63,33.03,12.19,14.36,20.12,10.71
MAR-28-17-00,7.54,9.83,6.43,4.41,5.40,5.18,10.19,11.21,10.96,11.73,11.85,11.24,16.37,11.46,10.40,10.24,10.46,10.33,10.86,7.70,7.30,6.10,10.02,5.57,9.32,6.36,9.23,6.93,8.04,7.40,11.06,8.86,32.86,12.08,23.91,32.16,10.02,5.39,6.26,5.00,5.83,4.96,7.15,7.93,6.71,9.11,7.07,7.11,10.73,9.30,7.22,6.73,5.93,7.85,9.65,5.53
MAR-28-19-00,15.15,14.43,24.27,23.55,30.50,36.07,12.84,36.70,22.59,34.28,20.36,32.13,23.25,35.54,16.93,23.24,21.99,25.34,22.49,14.84,16.69,18.13,18.49,40.67,15.52,24.50,19.21,17.59,20.97,17.29,22.70,21.56,30.96,19.76,19.85,29.25,18.49,11.45,10.97,14.64,9.88,18.24,9.90,14.96,10.26,12.30,12.03,15.40,10.75,12.53,11.34,14.07,13.90,13.61,19.90,7.75
MAR-28-20-00,24.06,10.58,10.30,9.27,9.23,15.69,35.60,18.57,47.03,13.66,17.67,14.73,30.36,52.37,21.89,12.27,28.63,16.02,14.00,19.17,8.53,7.32,6.83,11.61,21.00,27.36,20.66,11.62,11.13,12.27,62.03,34.73,31.07,29.50,33.66,24.03,41.94,13.09,6.49,5.76,7.10,6.19,10.33,8.04,11.63,8.36,8.73,9.76,12.70,16.66,7.15,24.06,18.44,10.45,18.54,12.45
MAR-28-21-00,34.61,62.15,20.44,27.16,51.00,24.93,46.70,64.51,38.71,48.77,59.66,29.06,37.21,33.79,27.76,25.37,21.66,27.66,37.93,28.10,36.27,17.30,18.40,15.75,34.32,26.67,33.53,26.30,37.02,33.43,39.60,32.70,52.90,27.40,30.68,19.26,37.70,21.86,28.07,19.95,19.18,15.46,17.94,18.39,26.77,10.53,28.41,17.52,20.63,15.96,26.49,18.96,14.37,19.07,29.74,12.44
MAR-29-18-00,30.84,22.58,34.31,24.84,40.64,18.40,74.86,66.21,66.55,59.93,43.65,85.77,44.11,64.89,32.10,61.50,48.88,44.32,38.60,28.07,23.77,27.53,22.50,23.73,17.91,35.92,37.21,62.09,37.34,26.93,48.73,64.97,65.10,27.69,60.18,38.54,31.07,20.22,26.54,16.50,16.32,9.77,12.88,32.34,16.53,20.13,23.12,27.73,37.46,39.03,24.21,23.73,42.88,25.93,36.99,17.80
MAR-29-20-00,21.00,9.82,11.37,13.02,12.91,14.82,27.08,30.08,20.57,20.04,22.96,26.40,39.65,37.33,23.33,39.84,27.50,48.77,24.26,18.44,17.85,17.51,21.63,28.40,20.93,29.26,29.92,36.53,24.29,49.08,65.27,73.99,54.45,44.59,47.54,38.70,19.83,13.22,13.34,9.34,20.71,13.00,10.56,12.62,11.73,11.61,14.93,16.70,33.60,17.33,12.06,15.63,34.01,14.31,25.62,14.50
MAR-29-21-00,25.68,50.15,22.73,37.64,30.29,45.06,36.78,45.32,39.14,45.29,55.44,39.72,54.66,59.12,45.08,48.03,29.02,29.93,80.65,39.00,18.28,37.53,17.43,28.75,26.60,34.93,41.87,42.41,51.99,25.43,39.13,39.68,58.67,29.47,78.01,37.80,31.53,15.83,22.69,12.17,15.14,13.23,21.86,17.58,19.18,17.57,23.30,23.12,25.35,18.74,23.99,20.64,34.87,17.91,34.10,15.36
MAR-30-13-30,28.64,56.93,18.28,59.18,21.27,51.57,91.93,106.30,56.05,85.52,43.40,74.48,149.19,63.83,43.14,62.06,62.83,26.15,41.28,34.99,21.15,26.45,24.20,22.40,61.43,74.21,67.54,19.73,51.31,70.23,80.25,50.55,75.25,36.65,44.06,36.67,22.91,27.13,30.71,16.53,28.55,23.40,11.55,15.72,38.75,59.05,36.55,44.60,13.84,13.82,17.70,11.30,26.67,11.58,44.25,27.49
