,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,mean z-score
MAR-27-22-30,-1.37,-1.37,-0.12,-1.38,-1.44,-1.16,0.66,0.58,0.55,-1.19,0.50,-0.97,1.06,1.06,-1.06,-0.92,0.00,0.15,0.70,0.43,0.86,-1.31,0.20,0.91,0.89,0.72,0.15,0.20,0.19,0.20,1.10,1.08,0.74,1.03,1.10,1.10,1.10,1.08,-1.36,-1.21,-1.43,-1.43,-1.04,-1.20,-1.24,-1.32,1.07,-1.00,1.10,1.04,1.04,1.02,0.92,-1.03,0.13
MAR-28-10-00,0.37,-1.45,-1.57,-1.73,0.44,-1.32,-0.11,0.56,-1.24,1.08,0.08,1.12,1.16,1.14,-1.12,-1.22,-0.13,0.87,0.85,-1.32,0.86,-0.06,0.96,0.02,0.63,-0.17,1.16,-0.03,0.12,0.06,1.17,1.15,0.89,0.61,-0.89,0.81,0.99,0.35,0.50,1.00,0.49,-1.57,-1.42,-1.38,-0.29,-1.26,0.66,-1.40,1.17,-1.82,1.07,1.02,-0.93,-0.93,0.27
MAR-28-14-00,-0.46,0.45,-1.39,-1.16,-1.78,-1.71,0.16,-2.11,0.43,-1.79,0.07,-0.69,0.18,0.81,-1.54,-0.50,0.48,0.12,0.50,-1.17,0.18,-2.50,-0.45,0.80,0.50,0.81,-0.53,0.73,-0.31,0.81,0.81,0.77,0.31,0.79,0.81,0.75,-1.31,0.75,0.65,0.78,-2.66,0.81,0.78,0.80,0.18,0.80,0.19,0.19,0.81,0.81,0.81,0.81,0.81,0.81,0.69
MAR-28-16-00,-1.19,-1.19,0.09,-1.43,-0.19,-1.57,0.33,0.53,0.23,-1.18,0.49,0.53,1.06,0.42,-1.17,0.04,0.55,0.97,1.04,-0.91,0.94,-1.43,0.64,-1.54,0.94,-0.08,0.97,1.01,0.85,0.89,1.06,1.06,1.05,0.91,0.93,1.04,0.36,-0.53,-1.11,-1.11,-1.55,-1.55,-1.05,-1.16,-1.35,-1.44,0.93,-1.11,1.06,1.05,1.06,0.93,-0.74,0.60,0.21
MAR-28-17-00,-0.72,-0.72,-0.98,-0.98,-1.12,-1.12,0.57,1.07,-0.08,-0.50,-0.75,-0.89,1.62,1.63,-0.65,0.69,0.51,0.53,0.84,-0.42,-0.56,-0.72,-0.94,-0.94,1.47,1.18,-0.07,-0.07,-0.39,-0.27,1.67,1.67,1.63,0.89,1.67,1.49,-0.02,-0.02,-0.63,-0.63,-1.10,-1.10,-0.86,1.36,-0.89,-0.89,-0.81,-0.81,-1.05,1.67,-0.95,1.53,-0.54,-0.54,-0.33
MAR-28-19-00,-0.97,-0.97,-0.42,-1.25,-0.41,1.55,0.35,0.95,0.99,0.42,0.94,0.29,1.51,1.62,-0.95,-0.72,0.30,0.39,0.42,-0.09,-1.25,-0.97,-0.96,1.62,0.52,0.39,0.48,0.53,0.63,0.46,1.62,1.62,1.30,-0.82,-0.49,0.23,-0.59,-0.42,-1.13,-1.23,-0.95,-1.10,-0.82,-0.45,-1.08,-1.26,-1.29,-0.93,1.62,1.61,1.52,-1.36,-0.46,-0.52,-0.15
MAR-28-20-00,0.61,-1.17,-1.17,-1.17,-1.25,-1.25,-0.80,0.39,0.31,-1.07,0.39,-0.93,0.98,1.37,-0.80,0.43,0.21,0.72,0.54,0.66,-0.86,-0.86,-1.07,-1.07,0.65,0.70,0.54,0.70,-0.40,0.60,1.40,1.46,1.39,1.42,1.44,1.42,0.74,0.74,-0.77,-0.77,-1.23,-1.23,-0.82,-0.83,0.98,-1.11,-1.17,-1.21,1.46,-1.19,1.38,1.33,-0.40,-0.40,-0.16
MAR-28-21-00,1.03,-0.85,-0.27,-0.39,-0.91,-0.60,0.85,0.49,-0.11,-0.37,-0.75,-0.99,1.82,1.82,-0.51,-0.78,0.47,0.38,0.49,1.49,-0.70,-0.60,-0.95,-1.09,0.87,-0.29,0.68,-0.62,-0.32,-0.19,1.82,1.82,1.49,1.56,0.44,-0.27,0.57,-0.07,-1.20,-0.75,-1.27,-1.00,-0.67,-0.78,-0.97,-1.14,-0.54,-1.03,1.82,-1.21,1.67,1.66,-0.32,-0.73,-0.29
MAR-29-18-00,0.73,-1.25,-1.36,-1.59,0.50,-1.66,1.02,-1.07,-1.24,0.11,0.60,0.87,0.49,1.18,-0.85,0.99,0.61,-0.06,0.98,-0.13,0.66,-1.25,0.73,-1.12,0.24,-1.66,0.07,0.45,0.25,0.04,1.18,1.18,1.03,0.82,1.18,0.92,-0.09,-0.42,0.73,-1.16,0.55,-1.64,0.70,-1.38,0.78,-1.40,-0.97,-1.18,1.18,-1.60,1.09,1.04,0.99,-0.83,0.18
MAR-29-20-00,0.73,0.81,-1.05,-0.73,-1.01,-0.66,1.23,-0.83,-1.04,-1.10,-0.99,-0.98,1.45,1.23,-0.73,-0.92,0.40,0.39,-0.14,-0.87,-1.02,-1.07,-1.03,-1.10,0.45,-0.98,0.68,0.39,0.69,0.86,1.69,1.16,1.42,1.30,1.47,0.78,0.43,0.67,-1.25,-0.34,-0.80,-0.57,-0.60,-1.05,-0.21,-0.66,-0.57,-0.63,1.68,-1.26,1.59,1.53,1.62,-0.46,-0.21
