,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,subject mean,subject st dev
MAR-28-16-00,-0.18,-1.37,-0.09,-1.60,-0.37,0.15,0.93,0.66,0.87,0.49,0.29,0.29,-0.50,-1.50,-1.07,-1.63,0.87,0.24,0.74,-0.17,0.88,0.38,0.89,0.11,-1.14,-1.94,-1.67,-1.95,-0.91,-1.00,-0.27,-0.45,0.17,0.87,-0.79,-0.52,-0.29,0.91
MAR-28-17-00,-1.85,-2.48,-2.14,-2.21,-0.97,-0.85,-0.84,-0.92,-1.05,-1.08,-1.04,-1.06,-1.64,-1.94,-1.11,-2.09,-1.25,-1.73,-1.48,-1.62,0.86,-0.80,0.33,0.82,-1.90,-2.27,-2.01,-2.28,-1.78,-1.27,-1.69,-1.68,-1.66,-1.78,-1.99,-1.52,-1.39,0.79
MAR-28-19-00,0.36,0.31,0.74,1.02,0.24,0.93,0.06,0.82,-0.24,0.28,0.19,0.43,-0.27,-0.13,-0.10,1.21,-0.03,-0.18,0.11,-0.21,0.76,0.01,0.02,0.67,-0.96,-0.48,-1.14,-0.12,-1.07,-0.77,-0.81,-0.40,-0.91,-0.55,-0.57,-0.61,-0.04,0.62
MAR-28-20-00,-1.07,-1.24,-1.25,-0.37,1.46,-0.60,-0.17,-0.47,0.18,-0.78,0.63,-0.33,-1.38,-1.64,-1.75,-0.87,0.09,-0.87,-0.94,-0.78,0.77,0.68,0.90,0.34,-1.84,-2.03,-1.69,-1.92,-0.87,-1.42,-1.34,-1.16,-1.68,0.34,-0.10,-1.04,-0.67,0.90
MAR-28-21-00,0.07,0.54,1.59,0.40,1.13,1.52,1.85,0.66,0.58,0.43,0.17,0.57,1.02,-0.21,-0.10,-0.36,0.89,0.49,1.06,0.89,1.65,0.56,0.75,-0.03,0.60,0.03,-0.03,-0.39,0.52,-1.03,0.62,-0.19,0.50,-0.05,-0.51,-0.04,0.45,0.65
MAR-29-18-00,0.93,0.40,1.21,-0.10,2.03,1.86,1.33,2.46,0.82,1.90,1.52,1.36,0.32,0.57,0.23,0.32,1.07,1.92,1.07,0.53,2.00,0.58,1.87,1.13,0.51,-0.29,-0.30,-1.16,-0.28,0.05,0.28,0.58,0.35,0.32,1.30,0.47,0.81,0.81
MAR-29-20-00,-0.90,-0.68,-0.69,-0.46,0.08,0.04,0.26,0.50,0.29,1.18,0.56,1.52,-0.15,-0.19,0.17,0.62,0.70,1.04,0.36,1.53,1.70,1.37,1.47,1.13,-0.64,-1.23,0.09,-0.68,-0.85,-0.87,-0.45,-0.26,-0.81,-0.38,0.92,-0.52,0.16,0.83
MAR-29-21-00,0.25,1.09,0.72,1.39,1.15,1.39,1.73,1.18,1.39,1.49,0.65,0.71,-0.11,1.08,-0.19,0.64,1.26,1.28,1.62,0.43,1.82,0.68,2.30,1.09,0.24,-0.79,-0.43,-0.65,-0.03,-0.18,0.29,0.28,0.34,0.09,0.96,-0.15,0.69,0.75
MAR-30-13-30,-0.11,1.84,0.14,1.61,1.75,2.45,1.32,2.22,1.31,1.92,1.94,0.48,0.13,0.50,0.35,0.22,2.06,0.01,1.60,2.12,2.24,1.04,1.35,1.04,0.75,-0.28,0.63,0.30,1.13,1.83,1.04,1.37,-0.17,-0.91,0.51,-0.87,0.97,0.91
MAR-30-14-30,-0.21,0.66,0.59,-0.36,0.19,-0.17,0.03,0.49,-0.11,0.48,0.35,-0.33,0.31,-0.77,0.43,-0.69,0.74,0.33,0.15,0.54,1.00,1.19,0.47,1.67,-0.51,-0.77,-0.77,0.27,-0.56,-0.35,-0.09,0.38,1.28,0.55,0.31,-0.22,0.18,0.60
