,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,subject mean,subject st dev
MAR-29-21-00,1.011075123,1.01658112,1.00471097,1.332434247,1.056599865,1.01576446,1.011086689,1.090764965,1.094986247,1.108081828,1.174930429,1.004352221,1.002039582,1.014622246,1.014282539,1.283261045,1.103586179,1.140509862,1.124366731,1.109565759,1.103398335,1.206996326,1.262569762,1.148299105,1.009747501,1.015265252,1.000766419,1.010301225,1.646526348,1.005071374,1.577230489,1.018603384,1.411280164,1.34823539,1.038246836,1.038246836,1.126510746,0.16
MAR-30-13-30,1.077289865,1.14188083,1,1.154935709,1.199956597,1.107725586,1.008432691,1.494231279,1.022874366,1.022874366,1.08777685,1.08777685,1.005482024,1.264906544,1.200551563,1.38420219,1.683585904,1.048477906,1.135142833,1.586543145,1.082610955,1.115641078,1.52190254,1.274941981,1.193878773,1.371028274,1.000766419,1.176882549,1.214887831,1.005071374,1.55687613,1.187560594,1.411280164,1.409886841,1.003232018,1.035014818,1.202114151,0.19
MAR-30-14-30,1.043479028,1.002737901,1.021363751,1.012118439,1.214332063,1.010873841,1.090412532,1.008450406,1.022825253,1.078154417,1.086810942,1.173500758,1.015561129,1.015561129,1.014000253,1.006839125,1.144383538,1.220870725,1.099331829,1.204092832,1.498438811,1.421339639,1.366397544,1.480499016,1.01951557,1.01951557,1.00988028,1.000766419,1.172591174,1.005071374,1.173695644,1.025074825,1.411280164,1.001393323,1.038246836,1.035014818,1.115678358,0.15
MAR-30-15-30,1.013479534,1.055650058,1,1.021514248,1.103032333,1.011155907,1.02909383,1.009659181,1.022903713,1.09668328,1.089392796,1.176697712,1.033963142,1.017997679,1.013117984,1.005739846,1.133705167,1.1130662,1.039447683,1.108922986,1.347559274,1,1.046813292,1.04051799,1.009608668,1.015593533,1.010212366,1.01959236,1.05576341,1.005071374,1.008409359,1.008961267,1.411280164,1.001393323,1.038246836,1.320109179,1.067620991,0.10
MAR-30-19-00,1.031935314,1.002737901,1.025503139,1,1.011634832,1.079679124,1.011158194,1.011470714,1.023339131,1.025168784,1.082482062,1.172769973,1.032791466,1.015561129,1.008673387,1.110268073,1.130205856,1.118616095,1.304964053,1.208068404,1.350939249,1.269191751,1.521619894,1.12792907,1.003224428,1.009608668,1.000766419,1.000766419,1.016506777,1.005071374,1.018119596,1.011765474,1.660979469,1.001393323,1.038246836,1.035014818,1.096615867,0.15
MAR-31-11-00,1.002737901,1.00532239,1.012118439,1,1.180471431,1.180411911,1.268696734,1.168886665,1.040299257,1.184404887,1.092888297,1.093335748,1.005482024,1.005482024,1.006839125,1.001240977,1.048477906,1.035775488,1.030979111,1.030979111,1.206996326,1.206996326,1.04051799,1.003819722,1.009608668,1.009608668,1.000766419,1.000766419,1.008717053,1.008717053,1.011972845,1.011972845,1.852067947,1.006406016,1.023582651,1.005720039,1.077862956,0.15
MAR-31-12-00,1.045949281,1.00532239,1.012118439,1,1.096788337,1.18233313,1.011179645,1.022649157,1.099041751,1.186144924,1.090738681,1.341337372,1.012803205,1.015561129,1.006839125,1.006839125,1.108409613,1.1130662,1.131727842,1.109083414,1.421795795,1.194809528,1.243819971,1.245095027,1.01951557,1.01951557,1.000766419,1.000766419,1.008717053,1.008717053,1.011972845,1.011972845,1.52805434,1.474218443,1.304745254,1.304745254,1.122143337,0.15
MAR-31-15-00,1.00532239,1.00532239,1,1,1.642326353,1.005027917,1.093381376,1.246579551,1.033856396,1.017072731,1.082049824,1.39465156,1.09496281,1.015561129,1.102352876,1.006839125,1.093030586,1.1130662,1.112165891,1.030979111,1.568856757,1.249809841,1.52190254,1.206960876,1.009608668,1.01951557,1.000766419,1.008120655,1.191885777,1.002882807,1.023910393,1.026315042,1.411280164,1.34823539,1.003232018,1.035014818,1.131190165,0.18
MAR-31-16-00,1.011589791,1.00532239,1.018051719,1,1.091844392,1.089481344,1.083365527,1.038899562,1.040764022,1.029268113,1.092888297,1.091186132,1.015561129,1.015561129,1.006839125,1.006839125,1.115822183,1.115822183,1.030979111,1.036746308,1.401025219,1.206996326,1.036859095,1.003819722,1.01951557,1.009608668,1.008120655,1.008120655,1.026354248,1.005071374,1.011972845,1.030153889,1.411280164,1.353248084,1.005720039,1.038246836,1.069804027,0.11
MAR-31-17-30,1.0105504,1.632647136,1.008296284,1.847114402,1.176917581,1.166536536,1.272361168,1.246756664,1.027394635,1.096422043,1.174482977,1.088942006,1.503144159,1.825013626,1.11885166,1.920840216,1.645493479,1.186812944,1.109191029,1.568362018,1.801089749,1.93915599,1.832862208,1.356582922,1.531422641,1.009608668,1.162019748,1.64328249,1.026354248,1.005071374,1.573391642,1.018664855,2.617268408,1.34823539,1.304745254,1.444353063,1.395562211,0.37
MAR-28-15-00,1.043043747,1.00532239,1.028179814,1.03495912,1.044910885,1.055528776,1.015897796,1.022431155,1.022874366,1.022874366,1.08777685,1.08777685,1.25869124,1.015561129,1.098348344,1.006839125,1.108409613,1.046558655,1.120853596,1.027756014,1.269191751,1.185047906,1.24278738,1.013773919,1.009608668,1.009608668,1.000766419,1.008120655,1.036527352,1.026944388,1.023910393,1.019948657,1.411280164,1.34823539,1.038246836,1.038246836,1.078801089,0.10
map mean,1.02839104,1.048503554,1.02962133,1.087290616,1.146559593,1.078288999,1.079085428,1.119010673,1.038102691,1.097192223,1.104145292,1.191556168,1.105758816,1.05221565,1.061442401,1.159250391,1.194015895,1.127903023,1.118041165,1.190049016,1.347423387,1.300587773,1.364666857,1.247229841,1.095631793,1.068362367,1.034280443,1.07158671,1.103637438,1.047248406,1.149216335,1.031590625,1.496756672,1.319136334,1.143486992,1.160306588,1.13993257,0.22
map st dev,0.03,0.13,0.04,0.18,0.13,0.09,0.08,0.15,0.03,0.09,0.04,0.23,0.14,0.15,0.09,0.30,0.20,0.10,0.08,0.22,0.16,0.18,0.32,0.22,0.14,0.14,0.06,0.20,0.17,0.16,0.19,0.05,0.41,0.32,0.35,0.33,0.22,
best path time,246.58,246.58,235.98,235.98,233.62,233.62,232.17,232.17,253.67,253.67,234.73,234.73,210.37,210.37,198.94,198.94,200.10,200.10,194.44,194.44,244.86,244.86,230.42,230.42,124.71,124.71,119.51,119.51,114.97,114.97,115.33,115.33,137.64,137.64,129.90,129.90,,
